S.No,Company Name,Company profile,Country,Acquired Year,Acquired by
80,Allyis,"Provider of technology, consulting, and technical staffing services",Washington,,Tech Mahindra
81,BORN,Design agency,New York,,Tech Mahindra
82,Cerium Systems,Global design services company for the VLSI and embedded software sectors,Bangalore,,Tech Mahindra
83,Target Group,Software solutions for the financial services industry,Cardiff,,Tech Mahindra
84,Momenton,Provider of digital & consulting management services,Melbourne,,Tech Mahindra
85,Geomatic.AI,,,,Tech Mahindra
86,Thirdware,,,,Tech Mahindra
87,The HCI Group,Provider of consultancy services to the healthcare IT department,Florida,,Tech Mahindra
88,Activus Connect,Provider of customer experience services,Florida,,Tech Mahindra
89,vCustomer,BPO services provider,Washington,,Tech Mahindra
90,MadPow,Provider of marketing and application development services,New Hampshire,,Tech Mahindra
91,Dynacommerce,Sales management solution for small businesses,Sittard,,Tech Mahindra
92,Hutchison Global Services,Provider of customer experience services,Mumbai,,Tech Mahindra
93,Objectwise,Provides IT advisory services,Toronto,,Tech Mahindra
94,Tenzing,IT management and technology consulting services,Auckland,,Tech Mahindra
95,BERIS consulting,"Provider of software & mobile application development, business intelligence, and IT consulting services",Wolfsburg,,Tech Mahindra
96,Com-Tec-Co,Insurance program management solutions for the insurance industry,Nicosia,,Tech Mahindra
97,We Make Websites,Operates retail store of apparel wear & accessories for men and women,London,,Tech Mahindra
98,Eventus,Provides IT services suite ,Colorado,,Tech Mahindra
99,SOFGEN,"Provider of banking IT, consulting, and analysis services",Vernier,,Tech Mahindra
100,LINEAS,"Provider of software & mobile application development, and consulting services",Braunschweig,,Tech Mahindra
101,Digital OnUS,Services for deployment automation in enterprises,Monterrey,,Tech Mahindra
102,Digital Risk,"Provider of risk, compliance and transaction management solutions to mortgage industry",Florida,,Mphasis
103,Mphasis Wyde,Suite solutions for insurance industry ,Paris,,Mphasis
104,Fortify Infrastructures,Renote IT Operations and Management,California,,Mphasis
105,Datalytyx,Provider of IoT based analytics and data classifier solution,London,,Mphasis
106,Eldorado Computing,Automated software solution for benefit managers to process and pay health claims,Arizona,,Mphasis
107,Stelligent,Continuous Delivery in AWS,Virginia,,Mphasis
108,Blink UX,Mobile applications development services focussed on UI/UX,Washington,,Mphasis
109,Mindtree,Consulting and implementations company,India,,LTI
110,Powerupcloud,Cloud management and big data products.,Bangalore,,LTI
111,NIELSEN+PARTNER,Provides IT services suite,Hamburg,,LTI
112,Otis ISRC,Computer software company,Pune,,LTI
113,augmentIQ,Customer analytics technology platform,Pune,,LTI
114,Syncordis,Consulting services to banks,Strassen,,LTI
115,Cuelogic,Provider of application development and cloud services,Pune,,LTI
116,GDA Technologies,,California,,LTI
117,lyMbyc,Predictive analytical solutions for pharma and consumer technology,Bangalore,,LTI
118,Tin Roof ,Provider of IT services suite,Georgia,,LTI
119,Contino ,Services related to the implementation of CD/CI tools in enterprises,London,,LTI
120,New Signature ,Offers managed services and professional services for cloud,District of Columbia,,LTI
121,Lev ,Business consulting firm,Indiana,,LTI
122,Zenith Technologies ,"Provider of automation, process control, and manufacturing software systems for the life science industry",Ringaskiddy,,LTI
123,10th Magnitude ,Managed cloud platform,Illinois,,LTI
124,Collaborative Solutions ,Enterprise cloud consulting services provider,Virginia,,LTI
125,Meritsoft ,Cash & tax management solutions,Dublin,,LTI
126,Zone ,Digital marketing and advertising consultancy,Cologne,,LTI
127,TriZetto ,Provider of software solution for healthcare payers and providers,Colorado,,LTI
128,marketRx ,Sales and Marketing solutings for Life Sciences Companies,New Jersey,,LTI
129,Bolder Healthcare ,Provides revenue cycle management services to healthcare providers,Kentucky,,LTI
130,Mirabeau ,"Provider of digital design, technology, and insights services",Amsterdam,,LTI
131,Code Zero Consulting ,Provider of IT services suite solutions and advisory services,Georgia,,LTI
132,Active Intelligence ,Systems integration company,Mississauga,,LTI
133,Pipc ,Management Consulting Firm,London,,LTI
134,C1 Solutions ,Limited information available,Hamburg,,LTI
135,Zaffera ,SAP Retail Consulting and Software Development Firm,New Jersey,,LTI
136,btconsult ,Limited information available,Acquired,,LTI
137,Advanced Technology Group ,Business services to manage financial management and reporting,Kansas,,LTI
138,TQS Integration ,Provider of data analysis and visualization software solution,Waterford,,LTI
139,EI Technologies ,Provider of business consulting services,Levallois-perret,,LTI
140,SaaSfocus ,Technology consulting and SaaS products provider for enterprises,Noida,,LTI
141,HUNTER ,Provider of IT recruitment services,Georgia,,LTI
142,PSC Management Consulting ,Process and technology consulting services,Hamburg,,LTI
143,Strategic Vision Consulting ,High-impact consulting and systems implementation for media and entertainment companies,California,,LTI
144,Servian ,"Provider of data analytics, AI, cloud, DevOps and managed IT services",Sydney,,LTI
145,Devbridge ,Software development services,Illinois,,LTI
146,Netcentric ,Provider of data analytics and digital marketing strategy services,Zurich,,LTI
147,Magenic ,Services related to the development of custom applications for enterprises,Minnesota,,LTI
148,equinox-consulting.com ,Limited information available,,,LTI
149,Adaptra ,Business transformation and IT services,Sydney,,LTI
150,ESG Mobility ,Provider of IT service suite solutions,Munich,,LTI
151,Hedera ,Provider of digital marketing services,Kontich,,LTI
152,Softvision ,Specializes in software and mobile application development,Georgia,,LTI
153,AimNet Solutions ,Managed Infrastructure and Professional Services Company,New Jersey,,LTI
154,Brilliant Service ,Services related to the development of mobile applications,Osaka,,LTI
155,Galileo Performance ,IT system testing consulting services provider,Paris,,LTI
156,Cadient ,Digital marketing agency and analytics solutions,Pennsylvania,,LTI
157,Odecee ,Enterprise application development and consulting services,Melbourne,,LTI
158,TMG Health ,Provider of healthcare management services,Pennsylvania,,LTI
159,Bright Wolf ,Provider of IoT solutions for large scale industrial connected systems,North Carolina,,LTI
160,Idea Couture ,Management consulting firm,California,,LTI
161,Pepperweed Advisors ,IT consulting,Pennsylvania,,LTI
162,KBACE Technologies ,Cloud services provider for range of business processes and industries,New Hampshire,,LTI
163,Linium ,Digital engineering services providing company,New York,,LTI
164,Itaas ,Develops technology for digital video delivery,Georgia,,LTI
165,Inawisdom ,Provider of IT service suite solutions,Ipswich,,LTI
166,Personiv,Business process outsourcing services provider,Texas,,eClerx
167,CLX Europe,Offers photo and video production services,Verona,,eClerx
168,Agilyst,"Provides cable, broadband and telecom services",Pennsylvania,,eClerx
169,PatientMatters,Provider of platform to manage patient-centric financial solutions,Florida,2020,firstsource
170,MedAssist,"Provider of accounting, collection, and office management services for healthcare providers",Kentucky,2007,firstsource
171,ISGN Solutions,Business process outsourcing services for the mortgage industry,Florida,2016,firstsource
172,ARSI,Provider of insurance and financial services,California,2021,firstsource
173,Ingenient Technologies,"Offers solution that enables creation, delivery, management and presentation of multimedia content",United States,2009,Sasken
174,Utilant,Inspection management software,New York,2021,Majesco
175,InsPro Technologies,Provider of an insurance policy administration software for payers ,Pennsylvania,2020,Majesco
176,ClaimVantage,Automated claim technology solutions provider ,Maine,2021,Majesco
177,Exaxe,SaaS solutions for life and pensions industry ,Sandyford,2018,Majesco
178,Cover-All,Web-based software solutions for commercial P&C industry,New Jersey,2014,Majesco
179,Herald Health,Protocols system for monitoring clinical information systems ,Massachusetts,2018,Persistent
180,Genwi,Mobile Content Publishing and Management Platform.,California,2016,Persistent
181,HoopzPlanetInfo,,Pune,2014,Persistent
182,Aepona,Provider of managed networking services ,Belfast,2015,Persistent
183,Software Corporation International,Development and consulting services for the financial services industry,North Carolina,2021,Persistent
184,RGen Solutions,Provider of gambling services ,Washington,2015,Persistent
185,Youperience,Provider of sales force solutions ,Erding,2019,Persistent
186,Shree Partners,"Provides data analytics, test automation, and other services",New Jersey,2021,Persistent
187,PRM Cloud,Salesforce partner and cloud application development firm,Brisbane,2016,Persistent
188,Capiot,Cloud-hosted TIBCO applications deployment platform,California,2020,Persistent
189,MediaAgility,Provider of AI consulting services ,New Jersey,2022,Persistent
190,Data Glove,Provider of IT service suite solutions ,New Jersey,2022,Persistent
191,PARX,Provider of digital transformation services,Zurich,2017,Persistent
192,Rangsons Electronics,Diversified conglomerate operating across multiple industries,Bangalore,2015,CYIENT
193,WorkForce Delta,"Field service, asset and inventory management solutions",Melbourne,2021,CYIENT
194,Citec,Engineering and information management services provider,Vaasa,2022,CYIENT
195,Rangsons Aerospace,"Manufacturer of aircraft heat exchangers, navic receivers and other related products",Bangalore,2015,CYIENT
196,AnSem,"Analog, RF and mixed-signal ASIC design service company",Leuven,2018,CYIENT
197,Blom,"Process geographic information ( maps, images and models)and provide various services",Oslo,2016,CYIENT
198,Celfinet,"RAN configuration, analysis, and troubleshooting solutions provider",Cruz Quebrada,2022,CYIENT
199,Invati-Insights,Data science platform for multiple industries,Hyderabad,2014,CYIENT
200,Cyient Insights,"Big Data , IoT, and advanced analytics services provider",Hyderabad,2014,CYIENT
201,Softential,"Provider of software & web development, marketing, and other services",Virginia,2014,CYIENT
202,IG Partners,Strategic and M&A advisory firm focused on multiple sectors,Milano,2020,CYIENT
203,Grit Consulting,Provider of operational management consulting services,Brisbane,2022,CYIENT
204,IG Partners,"offers governance advisory, asset optimization, operations, and management services",Melbourne,2020,CYIENT
205,EnablePath,Software & services provider,United States,2014,Birlasoft
206,mediasmart,Mobile ad demand side platform for advertisers,Madrid,2020,Affle
207,Revx,Retargeting Platform For Mobile Ads,Bangalore,2019,Affle
208,Vizury,"Provides a marketing, and advertising platform",Bangalore,2018,Affle
209,Jampp,Mobile app marketing platform,Buenos Aires,2021,Affle
210,Shoffr,Provider of omnichannel order management and marketing platform for retail stores,Singapore,2019,Affle
211,AppStudioz,Mobile app development company,Gurgaon,2014,Affle
212,APPNext,Self-Serve Advertising Platform,Tel Aviv,2020,Affle
213,,Provider of business process management services,United States,2021,Coforge
,SLK Global Solutions,,,,
214,Vayavya Labs,Productivity tools for Embedded System Developers and IC design engineers,Belgaum,2020,KPIT Technologies
215,CG Smith Software,,Bangalore,2006,KPIT Technologies
216,Sparta Consulting,,California,2009,KPIT Technologies
217,CPG Solutions,,Florida,2010,KPIT Technologies
218,PathPartner,"Provider of embedded, AI, cloud and engineering services",Bangalore,2021,KPIT Technologies
219,Somit Solutions,Provider of vehicle maintenance services,Abingdon,2022,KPIT Technologies
220,Sopris,"Provider of software development, ERP, analytics, IT managed, and other services",Colorado,2018,Sonata Software
221,Rezopia,Cloud based travel ERP platform,California,2014,Sonata Software
222,Halosys,Platform for enterprises to build mobile apps,California,2015,Sonata Software
223,GBW,Customer experience services provider to enterprises,Melbourne,2020,Sonata Software
224,Scalable Data Systems,Services for implementation of Microsoft Dynamics AX for enterprises,Brisbane,2018,Sonata Software
225,Encore Software Services,Solutions related to the development and testing of applications,Chennai,2021,Sonata Software
226,,Cloud-based social media monitoring and analytics tools,India,2014,MU Sigma
,Webfluenz,,,,
227,Day One,Provider of legal & compliance management consulting services,Paris,2022,KPMG
228,Recommender Labs,Provider of tools to create ML based applications for generating recommendations,Mumbai,2019,KPMG
229,FMBT,"Provider of accounting, financial, tax, assurance and business management services",Terrebonne,2022,KPMG
230,Fortica,Provider of cloud cybersecurity services,Quebec City,2022,KPMG
231,Terria,Mobile experience platform,Basel,2017,KPMG
232,KMCS,Provider of project management and consulting services for construction industry,Dublin,2022,KPMG
233,Future Analytics,"Offers property planning, development and consulting services",Dublin,2020,KPMG
234,Rubicon Red,"DevOps, cloud and consulting solutions for Oracle Middleware",Melbourne,2022,KPMG
235,Certus APAC,Provider of ERP development services,Melbourne,2021,KPMG
236,Bois Montpetit,"Provider of accounting, audit and tax consulting services",Montreal,2021,KPMG
237,DayOne Consulting,"Provider of audit & assurance, tax, and financial advisory services",Montreal,2022,KPMG
238,Rightpoint,Provider of IT consultancy and advisory,Illinois,2019,Genpact
239,OnSource,Vehicle and property photo inspections via smart phone apps for claims handling,Massachusetts,2017,Genpact
240,BrightClaim,Insurance claims service provider,Georgia,2017,Genpact
241,RAGE Frameworks,Provides knowledge based business process automation solutions,Massachusetts,2017,Genpact
242,Endeavour,Provider of digital transformation services,Texas,2015,Genpact
243,Atyati Technologies,Technology platform provider for financial inclusion of the rural population.,Bangalore,2012,Genpact
244,PNMsoft,Business Process Management Suite,Watford,2016,Genpact
245,Avolent,Self-service eBilling and eSettlement software provider.,California,2009,Genpact
246,Genpact Headstrong Capital Markets,Provider of financial services,Illinois,2011,Genpact
247,Commonwealth Informatics,Data analytics and pharmacovigilance service provider,Massachusetts,2018,Genpact
248,Pharmalink Consulting,,New Jersey,2014,Genpact
249,riskCanvas,Financial crime compliance management software,Virginia,2019,Genpact
250,Something Digital,Provides application development services,New York,2020,Genpact
251,Symphony Marketing Solutions,Provider of marketing services,Connecticut,2010,Genpact
252,Enquero,Cloud-based analytics platform to catalog and visualize data,California,2021,Genpact
253,Akritiv,SaaS solutions for working capital optimization,California,2011,Genpact
254,TandemSeven,Customer web experience innovation products and consultancy provider,Massachusetts,2017,Genpact
255,Barkawi,Provider of supply chain consulting services,Munich,2018,Genpact
256,Slack,Provider of messaging program designed for the workplace,California,2020,Salesforce
257,Traction on Demand,Suite of productivity tools for Salesforce CRM,Burnaby,2022,Salesforce
258,Troops,Cloud-based CRM & messaging solutions provider,New York,2022,Salesforce
259,Vlocity,Omni-Channel cloud software for delivering industry-specific experiences to customers.,California,2020,Salesforce
260,Omni-Channel cloud software for delivering industry-specific experiences to customers.,Enterprise Applications,California,,Salesforce
261,Mapanything,Data mapping and geo analytics software provider,North Carolina,2019,Salesforce
262,Mobify,Optimise websites for mobile platform,Vancouver,2020,Salesforce
263,Evergage,Provider of personalized marketing solution for businesses,Massachusetts,2020,Salesforce
264,Narrative Science,Provider of an AI-based content creation solution,Illinois,2021,Salesforce
265,Attic Labs,Decentralized database for structured data,California,2018,Salesforce
266,MuleSoft,Platform offering API management and integration solution,California,2018,Salesforce
267,Twin Prime,Mobile app performance acceleration,California,2016,Salesforce
268,Toopher,Automated Two-Factor Authentication,Texas,2015,Salesforce
269,Coolan,Software solution to measure the health of a datacenter,California,2016,Salesforce
270,MetaMind,AI & deep learning solutions for enterprises,California,2016,Salesforce
271,PredictionIO,Open source machine learning server,Washington,2016,Salesforce
272,Krux,Cross-screen data management platform,California,2016,Salesforce
273,RelateIQ,Relationship intelligence platform for businesses,California,2014,Salesforce
274,BeyondCore,BI advanced analytics,California,2016,Salesforce
275,Implisit,Predictive Sales platform,Tel Aviv,2016,Salesforce
276,Tempo,"Smart calender app, acquired by Salesforce in May 2015",California,2015,Salesforce
277,EdgeSpring,Business Intelligence and Analytics,California,2013,Salesforce
278,Clipboard,Onine social bookmarking platform,Washington,2013,Salesforce
279,ExactTarget,Multichannel marketing automation platform,Indiana,2013,Salesforce
280,Data.com,Source of accurate business data,California,2010,Salesforce
281,Prior Knowledge,Limited information available,California,2012,Salesforce
282,GoInstant,Shared Co-Browsing Solutions,Halifax,2012,Salesforce
283,Salesforce Buddy Media,Social media marketing solutions,New York,2012,Salesforce
284,Stypi,Real-time document collaboration,California,2012,Salesforce
285,Thinkfuse,SaaS provider for Regular Progress Reports,Washington,2012,Salesforce
286,EntropySoft,Enterprise content management and integration software,Paris,2013,Salesforce
287,Model Metrics,Salesforce implementation partner,Illinois,2011,Salesforce
288,Demandware,Enterprise cloud commerce solutions,New York,2016,Salesforce
289,HeyWire,Enterprise Mobile Messaging Platform,Massachusetts,2016,Salesforce
290,Rypple,The social way to improve performance.,Toronto,2011,Salesforce
291,Etacts,Inbox management solution for Sales People,California,2010,Salesforce
292,Tableau,Cloud based visual analytics solutions provider,Washington,2019,Salesforce
293,Navajo Systems,Encryption based data security over cloud services,Jerusalem,2011,Salesforce
294,Many Moon,Blog page focused on print management related topics,Delaware,2011,Salesforce
295,GroupSwim,Collaboration and knowledge management,California,2009,Salesforce
296,Salesforce Radian6,Social Media Monitoring Platform,Fredericton,2011,Salesforce
297,Atonit,Provider of customer experience services,Sao Paulo,2022,Salesforce
298,tropps.ai,Platform offering revenue forecasting solutions,,2022,Salesforce
299,Acumen Solutions,Provider of strategy consulting services,Virginia,2020,Salesforce
300,Activa Live,Live Chat Software Provider,Missouri,2010,Salesforce
301,MinHash,,California,2015,Salesforce
302,InStranet,Knowledgebase for Customer Support and Service,Illinois,2008,Salesforce
303,The CMO Club,Community of senior marketing executives,New York,2020,Salesforce
304,Servicetrace,Provider of automated software testing solutions,Darmstadt,2021,Salesforce
305,gravitytank,Provider of software development and cloud computing services,Illinois,2016,Salesforce
306,Rebel,Email productivity solution,New York,2018,Salesforce
307,LevelJump,Sales enablement solution,Toronto,2021,Salesforce
308,ÄKTA,Digital products designer and marketeer,Illinois,2015,Salesforce
309,Sitemasher,Website builder tool,Vancouver,2010,Salesforce
310,Sequence,Marketing and communication agency,California,2017,Salesforce
311,Phennecs,Cloud-based solution provider of data anonymization,Texas,2022,Salesforce
312,ClickSoftware,Workforce Management Solutions,Petah Tikva,2019,Salesforce
313,ChoicePass,Cloud-based perks and rewards management platform,California,2012,Salesforce
314,Aruba Networks,Developer of cloud-based enterprise networking equipment,California,2015,HP
315,Eucalyptus,Open source private and hybrid cloud solutions provider,California,2014,HP
316,Teradici,Offers PCoIP and remote desktop solutions,Burnaby,2021,HP
317,ConteXtream,Carrier grade SDN solution,Petah Tikva,2015,HP
318,Stratavia,Data Center Automation solutions,Colorado,2010,HP
319,IBRIX,Scale-out NAS platform,Massachusetts,2009,HP
320,Palm,Internet-first brand offering smartphones & accessories,California,2010,HP
321,Fortify,Website and Mobile Application Security,California,2010,HP
322,Voltage,Data-centric encryption and key management,California,2015,HP
323,nuTsie,Internet and mobile Radio,Washington,2010,HP
324,Vertica,Data management solutions and NewSQL database,Massachusetts,2011,HP
325,NUR,Film production company,Lodz,2007,HP
326,Colubris Networks,WLAN solution provider,Massachusetts,2008,HP
327,Polyserve,Storage software for clustering NAS appliances,Oregon,2007,HP
328,Tabblo,Poster creation and printing site,Massachusetts,2007,HP
329,SPI Dynamics,Web application security & vulnerability assessment,Georgia,2007,HP
330,Lefthand Networks,Platform offering storage area networks solutions,Colorado,2008,HP
331,OuterBay Technologies,,California,2006,HP
332,Bitfone,,California,2006,HP
333,ArcSight,Big data based SIEM and log management platform,California,2010,HP
334,RLX Technologies,Server management software,Texas,2005,HP
335,AppIQ,Provider of storage resource management software,Massachusetts,2005,HP
336,Storageapps,Network storage products,New Jersey,2001,HP
337,Mercury interactive,Load testing tool,California,2006,HP
338,EDS,IT and business process outsourcing solutions,Texas,2008,HP
339,3PAR,Provider of disk arrays and storage management software,California,2010,HP
340,3Com,High-performance networking and security solutions,Massachusetts,2009,HP
341,OneFlow,Provider of on-demand print production services,London,2019,HP
342,Apogee Corp,Manage print services provider,Maidstone,2018,HP
343,Aruba Cloud,Cloud Services in Europe,Clichy,2015,HP
344,TruLogica,Adaptive user-provisioning software for IAM,Texas,2004,HP
345,Persist Technologies,Application-centric storage software and retrieval software for content management,California,2003,HP
346,CHOOSE,Provider of biodegradable bottles,Edinburgh,2022,HP
347,David 3d Scanner,Manufacturer of 3D scanners for making 360 degree 3D models,Koblenz,2016,HP
348,Polyserve,Distributor of fertilizers,Giza,2007,HP
349,Poly,Brand of audiovisual products,California,2022,HP
350,Compaq,Brand of personal computer,Texas,2001,HP
351,HyperX,Brand of PC gaming accessories,California,2021,HP
352,Nuevora,Big Data Analytics Solutions for Customer Success,California,2016,Sutherland Global
353,Adventity,Banking & Financial Services ,New York,2010,Sutherland Global
354,Apollo Health Street,Horizontal pLayer,Hyderabad,2012,Sutherland Global
355,ePoise,Cloud based video interviewing and screening product,India,2019,Zoho Corporation
356,Cignex,Open Source Enterprise Solutions and Services,California,2011,Datamatics
357,TechJini Solutions,Mobile Application Development Company,Bangalore,2017,Datamatics
358,Lumina Datamatics,End-to-end publishing service provider,Chennai,2016,Datamatics
359,TradeGecko,Provider of cloud-based suite solutions for wholesalers,Singapore,2020,Intuit
360,Credit Karma,Credit score checking and comparison platform for financial products,California,2020,Intuit
361,Origami Logic,SaaS based marketing intelligence platform,California,2019,Intuit
362,Exactor,Cloud-based sales tax compliance software.,Pennsylvania,2017,Intuit
363,TSheets,Cloud-based time-tracking software for businesses,Idaho,2017,Intuit
364,Applatix,Platform to build and deploy apps with containers,California,2018,Intuit
365,Mint,Online expense management solutions for individuals,California,2009,Intuit
366,Porticor,Cloud data security through Homomorphic Key Encryption,Tel Aviv,2015,Intuit
367,ZeroPaper,Financial Management for Small Companies,Brasilia,2015,Intuit
368,Lettuce,Inventory and Order Management System,California,2014,Intuit
369,AisleBuyer,App-based self-checkout solution for offline retailers,Massachusetts,2012,Intuit
370,Elastic Intelligence,Data Integration,California,2013,Intuit
371,Payvment,Social network e-commerce platform,California,2013,Intuit
372,Docstoc,Legal documents for SMBs,California,2013,Intuit
373,Boorah,Limited information available,California,2009,Intuit
374,StepUp Commerce,Ecommerce enabler,California,2006,Intuit
375,PayCycle,Online Payroll service provider.,California,2009,Intuit
376,Electronic Clearing House,End-to-end payment processing solutions.,California,2007,Intuit
377,Paytrust,Bill management and payment platform,California,2005,Intuit
378,Full Slate,Appointment book for service providers,Washington,2013,Intuit
379,MailChimp,Cloud based platform offering email marketing software for SMBs,Georgia,2021,Intuit
380,Invitbox,Cloud-based data extraction and invoice approval suite.,Surry Hills,2014,Intuit
381,Acrede HR & Payroll,Global HR and Payroll,Salisbury,2014,Intuit
382,Income Dynamics,Fair market value determination software for donated products.,Nebraska,2003,Intuit
383,Innovative Merchant,Merchant account services to SMEs,California,2003,Intuit
384,Mint Bills,Bill aggregation and payment app,California,2009,Intuit
385,Amrock,Property development and investment management services provider,Michigan,1999,Intuit
386,Paysuite,Cloud payroll solutions for SME businesses,London,2014,Intuit
387,OneSaas,Creates App integrations to streamline workflows,Normanhurst,2021,Intuit
388,Fifo Workpapers,Provider of a cloud-based practice management solution for professional accountants.,Melbourne,2013,Intuit
389,Imvision,Provider of API security platform,Tel Aviv,2021,Intuit
390,itDuzzit,Connects Cloud based Business Apps to integrate workflows,Illinois,2013,Intuit
391,SecureTax,Tax preparation and filling services,Georgia,1999,Intuit
392,Playbook HR,Workforce management system for on-demand marketplaces.,California,2015,Intuit
393,Mobile Money Ventures,Mobile banking solutions provider,California,2011,Intuit
394,EmployeeMatters,"Provides human resource management, benefits, and payroll services",Connecticut,2000,Intuit
395,Taulia,AI-based electronic invoicing and supply chain management solution for businesses,California,2022,SAP
